File,Class
1_1.mat,0.014863
1_2.mat,0.323757
1_3.mat,0.575090
1_4.mat,0.493573
1_5.mat,0.396264
1_6.mat,0.753004
1_7.mat,0.727096
1_8.mat,0.818668
1_9.mat,0.072712
1_10.mat,0.550416
1_11.mat,0.965933
1_12.mat,0.361885
1_13.mat,0.849432
1_14.mat,0.743161
1_15.mat,0.552219
1_16.mat,0.412931
1_17.mat,0.989042
1_18.mat,0.091606
1_19.mat,0.091699
1_20.mat,0.066491
1_21.mat,0.476414
1_22.mat,0.764317
1_23.mat,0.192292
1_24.mat,0.784999
1_25.mat,0.503115
1_26.mat,0.341125
1_27.mat,0.490686
1_28.mat,0.716456
1_29.mat,0.160527
1_30.mat,0.583214
1_31.mat,0.402375
1_32.mat,0.106262
1_33.mat,0.776029
1_34.mat,0.000070
1_35.mat,0.556122
1_36.mat,0.667045
1_37.mat,0.626809
1_38.mat,0.620928
1_39.mat,0.781523
1_40.mat,0.622851
1_41.mat,0.142824
1_42.mat,0.425050
1_43.mat,0.243051
1_44.mat,0.024763
1_45.mat,0.554447
1_46.mat,0.546010
1_47.mat,0.820068
1_48.mat,0.084059
1_49.mat,0.642170
1_50.mat,0.692120
1_51.mat,0.444675
1_52.mat,0.741860
1_53.mat,0.324987
1_54.mat,0.606282
1_55.mat,0.583782
1_56.mat,0.066815
1_57.mat,0.052182
1_58.mat,0.078490
1_59.mat,0.185087
1_60.mat,0.519839
1_61.mat,0.567591
1_62.mat,0.819551
1_63.mat,0.859450
1_64.mat,0.494556
1_65.mat,0.508313
1_66.mat,0.702475
1_67.mat,0.122686
1_68.mat,0.503554
1_69.mat,0.955128
1_70.mat,0.936748
1_71.mat,0.236308
1_72.mat,0.304862
1_73.mat,0.695143
1_74.mat,0.386000
1_75.mat,0.190829
1_76.mat,0.485151
1_77.mat,0.054213
1_78.mat,0.106124
1_79.mat,0.710646
1_80.mat,0.590084
1_81.mat,0.325152
1_82.mat,0.575010
1_83.mat,0.188965
1_84.mat,0.419884
1_85.mat,0.601177
1_86.mat,0.796091
1_87.mat,0.906887
1_88.mat,0.296524
1_89.mat,0.844757
1_90.mat,0.440281
1_91.mat,0.154390
1_92.mat,0.292684
1_93.mat,0.014486
1_94.mat,0.607713
1_95.mat,0.730757
1_96.mat,0.005581
1_97.mat,0.324255
1_98.mat,0.076754
1_99.mat,0.586031
1_100.mat,0.119671
1_101.mat,0.789820
1_102.mat,0.089054
1_103.mat,0.653799
1_104.mat,0.551466
1_105.mat,0.497577
1_106.mat,0.925543
1_107.mat,0.255187
1_108.mat,0.874425
1_109.mat,0.827042
1_110.mat,0.649453
1_111.mat,0.387807
1_112.mat,0.606132
1_113.mat,0.733363
1_114.mat,0.069748
1_115.mat,0.739409
1_116.mat,0.769329
1_117.mat,0.393649
1_118.mat,0.218050
1_119.mat,0.603397
1_120.mat,0.625600
1_121.mat,0.440169
1_122.mat,0.308588
1_123.mat,0.496907
1_124.mat,0.862749
1_125.mat,0.192772
1_126.mat,0.001304
1_127.mat,0.078594
1_128.mat,0.206674
1_129.mat,0.760938
1_130.mat,0.137283
1_131.mat,0.967380
1_132.mat,0.945790
1_133.mat,0.016680
1_134.mat,0.433889
1_135.mat,0.324159
1_136.mat,0.095578
1_137.mat,0.291406
1_138.mat,0.695289
1_139.mat,0.101108
1_140.mat,0.144311
1_141.mat,0.187050
1_142.mat,0.862668
1_143.mat,0.489987
1_144.mat,0.502087
1_145.mat,0.116803
1_146.mat,0.596314
1_147.mat,0.676816
1_148.mat,0.511890
1_149.mat,0.228652
1_150.mat,0.149064
1_151.mat,0.496328
1_152.mat,0.929508
1_153.mat,0.551630
1_154.mat,0.706741
1_155.mat,0.153156
1_156.mat,0.491204
1_157.mat,0.193468
1_158.mat,0.346442
1_159.mat,0.396724
1_160.mat,0.973954
