File,Class
1_1.mat,0.014863
1_10.mat,0.550416
1_100.mat,0.119671
1_1000.mat,0.587949
1_1001.mat,0.622211
1_1002.mat,0.747018
1_1003.mat,0.309928
1_1004.mat,0.916504
1_1005.mat,0.782266
1_1006.mat,0.101047
1_1007.mat,0.281105
1_1008.mat,0.907505
1_1009.mat,0.111087
1_101.mat,0.789820
1_1010.mat,0.102280
1_1011.mat,0.767944
1_1012.mat,0.662055
1_1013.mat,0.773098
1_1014.mat,0.931981
1_1015.mat,0.176884
1_1016.mat,0.020422
1_1017.mat,0.833639
1_1018.mat,0.473194
1_1019.mat,0.108646
1_102.mat,0.089054
1_1020.mat,0.115130
1_1021.mat,0.167973
1_1022.mat,0.972510
1_1023.mat,0.286004
1_1024.mat,0.599024
1_1025.mat,0.852209
1_1026.mat,0.244785
1_1027.mat,0.727168
1_1028.mat,0.400791
1_1029.mat,0.310601
1_103.mat,0.653799
1_1030.mat,0.391825
1_1031.mat,0.119336
1_1032.mat,0.978538
1_1033.mat,0.518252
1_1034.mat,0.507769
1_1035.mat,0.325022
1_1036.mat,0.197272
1_1037.mat,0.862893
1_1038.mat,0.267868
1_1039.mat,0.538681
1_104.mat,0.551466
1_1040.mat,0.963257
1_1041.mat,0.269576
1_1042.mat,0.265718
1_1043.mat,0.309990
1_1044.mat,0.557298
1_1045.mat,0.378189
1_1046.mat,0.245765
1_1047.mat,0.676179
1_1048.mat,0.261294
1_1049.mat,0.961486
1_105.mat,0.497577
1_1050.mat,0.427772
1_1051.mat,0.567792
1_1052.mat,0.613038
1_1053.mat,0.806993
1_1054.mat,0.880783
1_1055.mat,0.159978
1_1056.mat,0.089177
1_1057.mat,0.313135
1_1058.mat,0.607353
1_1059.mat,0.378738
1_106.mat,0.925543
1_1060.mat,0.057013
1_1061.mat,0.994016
1_1062.mat,0.666958
1_1063.mat,0.617150
1_1064.mat,0.147886
1_1065.mat,0.028996
1_1066.mat,0.572470
1_1067.mat,0.029982
1_1068.mat,0.711534
1_1069.mat,0.214038
1_107.mat,0.255187
1_1070.mat,0.958593
1_1071.mat,0.181891
1_1072.mat,0.798457
1_1073.mat,0.040043
1_1074.mat,0.309159
1_1075.mat,0.967092
1_1076.mat,0.266990
1_1077.mat,0.121876
1_1078.mat,0.607378
1_1079.mat,0.645352
1_108.mat,0.874425
1_1080.mat,0.897329
1_1081.mat,0.053178
1_1082.mat,0.759513
1_1083.mat,0.858904
1_1084.mat,0.481723
1_1085.mat,0.075096
1_1086.mat,0.090721
1_1087.mat,0.200216
1_1088.mat,0.778287
1_1089.mat,0.407280
1_109.mat,0.827042
1_1090.mat,0.147968
1_1091.mat,0.732915
1_1092.mat,0.149892
1_1093.mat,0.838430
1_1094.mat,0.545367
1_1095.mat,0.961168
1_1096.mat,0.075495
1_1097.mat,0.933833
1_1098.mat,0.359424
1_1099.mat,0.066930
1_11.mat,0.965933
1_110.mat,0.649453
1_1100.mat,0.420617
1_1101.mat,0.596441
1_1102.mat,0.347088
1_1103.mat,0.217627
1_1104.mat,0.037841
1_1105.mat,0.153425
1_1106.mat,0.373382
1_1107.mat,0.876815
1_1108.mat,0.441148
1_1109.mat,0.637770
1_111.mat,0.387807
1_1110.mat,0.837196
1_1111.mat,0.766317
1_1112.mat,0.125584
1_1113.mat,0.092661
1_1114.mat,0.660318
1_1115.mat,0.377670
1_1116.mat,0.107792
1_1117.mat,0.623811
1_1118.mat,0.621601
1_1119.mat,0.911627
1_112.mat,0.606132
1_1120.mat,0.485346
1_1121.mat,0.576741
1_1122.mat,0.982101
1_1123.mat,0.518568
1_1124.mat,0.348702
